per_sample	#samples	ARI	ARI_95	SIL	SIL_95
2	22	0.2144972502	0.003220579245	0.2621568995	0.004243232925
3	33	0.2454478099	0.004721599639	0.3033083034	0.005109968842
4	44	0.2465350634	0.003446996415	0.3034331303	0.005028280816
5	55	0.2482509958	0.003671822423	0.305758036	0.00472473819
6	66	0.2476601995	0.006380525601	0.2993114202	0.005062624491
7	77	0.2485244946	0.003016883102	0.3015334202	0.005788592091
8	88	0.245663263	0.002644753615	0.2944256473	0.005644966098
9	99	0.2445214443	0.00280978346	0.2881336045	0.005457415706
10	110	0.255607774	0.01106094337	0.286191076	0.005708461167
11	121	0.2562305234	0.01168229578	0.2784339021	0.005373200264
12	132	0.2669047082	0.01504007022	0.279423658	0.004704189005
13	143	0.2818890319	0.01832029952	0.2785493538	0.004743086304
14	154	0.2959998534	0.01942003471	0.2762322005	0.004857388572
15	165	0.2969441575	0.02106977251	0.2719596469	0.004454785466
16	176	0.3304988231	0.02322575542	0.2784618626	0.004664745256
17	187	0.3518712633	0.02119124867	0.2811252602	0.004370359778
18	198	0.3683160433	0.01915835138	0.283939716	0.004039726481
19	209	0.3638680162	0.01947706577	0.2808451025	0.004351577679
20	220	0.3697606168	0.02134070811	0.2839629737	0.004969597098
21	231	0.3845326284	0.01629869805	0.2846035673	0.004302995046
22	242	0.386696124	0.01451189996	0.2852141093	0.003605103377
23	253	0.4071663101	0.01131943619	0.2913326363	0.003455739862
24	264	0.4141688165	0.009551601237	0.2931631148	0.003072377819
25	275	0.4190102459	0.005526990119	0.2940070542	0.002508232083
