epochs	Dclass	acc	acc_std	ari	ari_std
100	TF:3	0.871632	0.003263023031	0.7348061495	0.00564929315
200	TF:3	0.895944	0.00286505094	0.7782871332	0.005209138139
300	TF:3	0.897456	0.002881133334	0.7790445622	0.005309475729
400	TF:3	0.903152	0.002742998464	0.7889685931	0.005127859323
500	TF:3	0.90664	0.002661297989	0.7971687509	0.004978266442
600	TF:3	0.916808	0.002541141577	0.8164856515	0.00487614919
700	TF:3	0.918512	0.002450231243	0.8200493055	0.004699505717
800	TF:3	0.91704	0.002443040575	0.8149372011	0.004795010273
900	TF:3	0.926736	0.002302191106	0.8352366436	0.004581859697
1000	TF:3	0.927688	0.002305780184	0.8371977249	0.004524491327
1100	TF:3	0.927128	0.002206695598	0.8355951137	0.004364278008
1200	TF:3	0.926544	0.00226944586	0.8338425353	0.004554438424
1300	TF:3	0.929736	0.002302092187	0.8416004825	0.004579666544
1400	TF:3	0.934336	0.002061458258	0.8497658907	0.004150458101
1500	TF:3	0.929	0.002282447925	0.8389225543	0.004547137352
1600	TF:3	0.930136	0.002129563468	0.8399559528	0.004313065158
1700	TF:3	0.9328	0.002085944624	0.847010093	0.00422418631
1800	TF:3	0.933184	0.002117898907	0.8474226372	0.004213292023
1900	TF:3	0.93628	0.002143140049	0.854677812	0.004363326207
2000	TF:3	0.93588	0.002119947948	0.853644648	0.004236183684
2100	TF:3	0.938984	0.002020266211	0.8588857119	0.004215555069
2200	TF:3	0.93416	0.002046315988	0.8489730007	0.004156108633
2300	TF:3	0.937776	0.002063821046	0.8578419583	0.004131906005
2400	TF:3	0.937576	0.00207032336	0.8564204471	0.004214525014
2500	TF:3	0.937016	0.001975211714	0.8543690493	0.004106083441
2600	TF:3	0.936312	0.002194531826	0.8557271279	0.004328555344
2700	TF:3	0.93788	0.00203001355	0.8564929829	0.004162346982
2800	TF:3	0.93452	0.002113807375	0.8500906848	0.004276636528
2900	TF:3	0.933696	0.001975727282	0.8460859195	0.004106416297
