repeat	class	samples	_	acc	acc_std	ari	ari_std
1	8	15	1000	0.57004	0.00659840195	0.3170352811	0.007101174629
1	10	15	1000	0.56866	0.007092736141	0.3196558045	0.007478703786
1	15	15	1000	0.71656	0.008806236631	0.5192302948	0.01136897436
1	20	15	1000	0.75832	0.007583100488	0.5676218228	0.01053286277
1	25	15	1000	0.69802	0.007531099515	0.4838905426	0.009303981885
2	8	15	1000	0.5308	0.007217599691	0.2858119311	0.007191928009
2	10	15	1000	0.60336	0.007830857549	0.3612076867	0.00847504891
2	15	15	1000	0.65412	0.008435947388	0.4293735345	0.01043132133
2	20	15	1000	0.77344	0.00781850644	0.5960525804	0.01075741846
2	25	15	1000	0.72294	0.008254498015	0.5234995452	0.01090765298
3	8	15	1000	0.5925	0.00722357603	0.3492312371	0.007805915653
3	10	15	1000	0.55114	0.007288215043	0.3015420447	0.007367705893
3	15	15	1000	0.73098	0.007607527078	0.5280483669	0.01006151283
3	20	15	1000	0.77078	0.006955650879	0.592608297	0.009361793549
3	25	15	1000	0.73494	0.007250486054	0.5370058464	0.009438932295
4	8	15	1000	0.45178	0.006192669117	0.2117250184	0.005714508542
4	10	15	1000	0.58544	0.007723027985	0.3533220404	0.008273415908
4	15	15	1000	0.72532	0.007265807959	0.5125490411	0.009963554529
4	20	15	1000	0.77248	0.007747804777	0.6006144518	0.01049266616
4	25	15	1000	0.7635	0.007416517367	0.5728743261	0.01039224629
5	8	15	1000	0.49794	0.006480084448	0.2395016015	0.006256556898
5	10	15	1000	0.57722	0.007153578668	0.3371180897	0.007799083726
5	15	15	1000	0.67318	0.00786376269	0.4482976057	0.009932934388
5	20	15	1000	0.7714	0.007741282215	0.5955959264	0.01023297844
5	25	15	1000	0.7394	0.00740410866	0.5466540861	0.009624608563
6	8	15	1000	0.55076	0.00750231624	0.2967101835	0.007836264251
6	10	15	1000	0.6278	0.007640723849	0.3878870257	0.008852067402
6	15	15	1000	0.70856	0.007997338471	0.4985408646	0.01027567894
6	20	15	1000	0.79474	0.007430584326	0.623219332	0.01067435713
6	25	15	1000	0.70826	0.009043267004	0.5126010969	0.01162332227
7	8	15	1000	0.58012	0.007486413724	0.3347267453	0.008157210403
7	10	15	1000	0.58828	0.007602154801	0.3351444207	0.00840441833
7	15	15	1000	0.7382	0.007719222234	0.5402245414	0.01024793581
7	20	15	1000	0.77562	0.007426766153	0.5940074883	0.01018277415
7	25	15	1000	0.80128	0.007034717109	0.6340990884	0.01007472168
8	8	15	1000	0.51686	0.007033889335	0.278624283	0.006997721589
8	10	15	1000	0.6311	0.007933670454	0.3901854936	0.009078068127
8	15	15	1000	0.72786	0.007615321208	0.5249901977	0.01002365579
8	20	15	1000	0.77044	0.007304356239	0.5825001757	0.01032680208
8	25	15	1000	0.72632	0.008033054009	0.5247731459	0.01028546476
9	8	15	1000	0.53024	0.007669119658	0.2922742001	0.007974109272
9	10	15	1000	0.57612	0.006921639551	0.321049198	0.007729442562
9	15	15	1000	0.79296	0.006451672497	0.6103895077	0.009514251385
9	20	15	1000	0.76928	0.006900706448	0.5825882795	0.009517306586
9	25	15	1000	0.73966	0.007660555792	0.5472056178	0.01031050512
10	8	15	1000	0.45538	0.006824195607	0.2084304944	0.006154795461
10	10	15	1000	0.61434	0.007296477913	0.388572668	0.007720861309
10	15	15	1000	0.70144	0.008108389171	0.4894702544	0.0103355237
10	20	15	1000	0.7728	0.007669174343	0.5891829176	0.01102323593
10	25	15	1000	0.7528	0.008479593401	0.5718185041	0.01135755252
1	5	15	1000	0.3608	0.006977552919	0.1370476429	0.005170753654
2	5	15	1000	0.50032	0.007102537026	0.2602660682	0.007386159653
3	5	15	1000	0.34952	0.005338134927	0.1168708955	0.003886139338
4	5	15	1000	0.42936	0.005893761502	0.1812129837	0.005508987778
5	5	15	1000	0.38512	0.005842193755	0.1696574101	0.00542543829
6	5	15	1000	0.40154	0.005859929386	0.1589318	0.005039849481
7	5	15	1000	0.3431	0.004757076206	0.09246782044	0.003535214557
8	5	15	1000	0.46374	0.006612877765	0.237025137	0.00632047515
9	5	15	1000	0.33474	0.00499469326	0.1206794792	0.004026623892
10	5	15	1000	0.27896	0.003172889958	0.04685742106	0.00237295458
