repeat	class	samples	_	acc	acc_std	ari	ari_std
1	5	15	1000	0.3608	0.006977552919	0.1370476429	0.005170753654
1	5	30	1000	0.311	0.003254974622	0.07968098859	0.003046268539
1	5	45	1000	0.29586	0.004191435783	0.1020676879	0.003567716684
1	5	60	1000	0.4835	0.007574090864	0.2671272759	0.007715978173
1	5	75	1000	0.40774	0.006205745723	0.2032276294	0.006374952917
2	5	15	1000	0.50032	0.007102537026	0.2602660682	0.007386159653
2	5	30	1000	0.44926	0.006654551954	0.2204847718	0.005978043422
2	5	45	1000	0.42926	0.006233436491	0.211862045	0.005516023999
2	5	60	1000	0.55132	0.007449423655	0.3200100012	0.007993748138
2	5	75	1000	0.51018	0.007933762184	0.2815483044	0.008733370309
3	5	15	1000	0.34952	0.005338134927	0.1168708955	0.003886139338
3	5	30	1000	0.28978	0.004192856948	0.08482544659	0.003066218519
3	5	45	1000	0.49912	0.006981933893	0.2757032806	0.007479460879
3	5	60	1000	0.33962	0.005617251585	0.1316649683	0.004351548655
3	5	75	1000	0.29846	0.004074086829	0.08398447388	0.003297008757
4	5	15	1000	0.42936	0.005893761502	0.1812129837	0.005508987778
4	5	30	1000	0.3505	0.005737928008	0.1712273758	0.004878260772
4	5	45	1000	0.39002	0.005592956465	0.191144456	0.00552981732
4	5	60	1000	0.36806	0.006468915551	0.1871120843	0.00593921672
4	5	75	1000	0.48218	0.007826853949	0.2611579995	0.00842615404
5	5	15	1000	0.38512	0.005842193755	0.1696574101	0.00542543829
5	5	30	1000	0.33486	0.006095409376	0.1447547753	0.005094126079
5	5	45	1000	0.37212	0.006080443091	0.1650360938	0.005125948821
5	5	60	1000	0.29114	0.004008017978	0.08047146103	0.003277040111
5	5	75	1000	0.31354	0.003743861738	0.1028261625	0.003254281341
6	5	15	1000	0.40154	0.005859929386	0.1589318	0.005039849481
6	5	30	1000	0.46316	0.006109569079	0.2205711463	0.005980907196
6	5	45	1000	0.4497	0.007049810066	0.2164004173	0.007007296598
6	5	60	1000	0.38272	0.006457573693	0.1794921589	0.006224045912
6	5	75	1000	0.31576	0.004104624337	0.106788859	0.003666770092
7	5	15	1000	0.3431	0.004757076206	0.09246782044	0.003535214557
7	5	30	1000	0.42122	0.006362292162	0.194379397	0.006146688443
7	5	45	1000	0.32386	0.003893869883	0.1122856153	0.003446275516
7	5	60	1000	0.42098	0.005489811507	0.202135483	0.005852142728
7	5	75	1000	0.29904	0.004203840929	0.08211711705	0.00323919786
8	5	15	1000	0.46374	0.006612877765	0.237025137	0.00632047515
8	5	30	1000	0.458	0.006916473631	0.2143512365	0.006407847546
8	5	45	1000	0.29752	0.00386343409	0.08256851517	0.003163836638
8	5	60	1000	0.48618	0.008174361765	0.2588318122	0.008122142883
8	5	75	1000	0.29932	0.004259433373	0.08583299615	0.003521688684
9	5	15	1000	0.33474	0.00499469326	0.1206794792	0.004026623892
9	5	30	1000	0.29378	0.004212008914	0.09200526146	0.003447579792
9	5	45	1000	0.3154	0.003559435418	0.08987859512	0.003163535186
9	5	60	1000	0.30998	0.0039097255	0.09006129739	0.003229384439
9	5	75	1000	0.31386	0.004090267677	0.1026195143	0.003604626634
10	5	15	1000	0.27896	0.003172889958	0.04685742106	0.00237295458
10	5	30	1000	0.4313	0.007058552996	0.1984400186	0.006422434199
10	5	45	1000	0.31358	0.00359453551	0.0860552596	0.003263353761
10	5	60	1000	0.31982	0.003709157772	0.09752679881	0.003292667617
10	5	75	1000	0.36996	0.006617069228	0.1550082581	0.006169709499
