repeat	class	samples	_	acc	acc_std	ari	ari_std
1	8	15	1000	0.79466	0.006006320708	0.6157694598	0.008719934886
1	10	15	1000	0.83738	0.005379912866	0.6689493582	0.008923546748
1	15	15	1000	0.86196	0.00516087413	0.7133789884	0.008649976468
1	20	15	1000	0.8675	0.005049120355	0.7241097744	0.008741086813
1	25	15	1000	0.84554	0.005733747461	0.6902722726	0.009410674321
2	8	15	1000	0.80144	0.006294993524	0.6250781695	0.00925290708
2	10	15	1000	0.80728	0.006362804091	0.6289231834	0.009608687298
2	15	15	1000	0.86208	0.005415240778	0.7165264398	0.009252282676
2	20	15	1000	0.86082	0.005228093685	0.7110678036	0.009063179849
2	25	15	1000	0.86336	0.005327198721	0.7158912999	0.009265212467
3	8	15	1000	0.76846	0.00699957917	0.5759141346	0.00977700408
3	10	15	1000	0.8314	0.005599995748	0.6696463351	0.008751986384
3	15	15	1000	0.86882	0.005078373228	0.7265620676	0.008758778585
3	20	15	1000	0.8697	0.005266067354	0.7290278121	0.009249220581
3	25	15	1000	0.87246	0.004981562478	0.734263512	0.008586714972
4	8	15	1000	0.76818	0.006875974298	0.5752814133	0.009462838963
4	10	15	1000	0.81602	0.00594642636	0.6426307527	0.009284622996
4	15	15	1000	0.85626	0.005378507221	0.7074765774	0.00889777022
4	20	15	1000	0.8651	0.005465516364	0.7263269484	0.009084873755
4	25	15	1000	0.86762	0.00534944755	0.7298909938	0.008870512933
5	8	15	1000	0.7695	0.006377553086	0.5844877861	0.009212956115
5	10	15	1000	0.84416	0.005693602022	0.6870953799	0.009349079174
5	15	15	1000	0.8807	0.004829579948	0.7477765467	0.008422001375
5	20	15	1000	0.85912	0.00527693171	0.7110528584	0.008754848715
5	25	15	1000	0.8766	0.004959263113	0.7390977432	0.008849428856
6	8	15	1000	0.75104	0.007320989962	0.5491864215	0.009972447318
6	10	15	1000	0.83346	0.005639910248	0.6706772059	0.009081443821
6	15	15	1000	0.84116	0.005565685654	0.6779455381	0.009123078703
6	20	15	1000	0.88916	0.004686422201	0.7638869893	0.008487972864
6	25	15	1000	0.87382	0.004803930774	0.7341342537	0.008443831678
7	8	15	1000	0.79816	0.006199569136	0.6192364547	0.009196725472
7	10	15	1000	0.8282	0.005861616916	0.6573139868	0.009468718458
7	15	15	1000	0.87326	0.004987526307	0.7368580838	0.008577590129
7	20	15	1000	0.85206	0.006197063562	0.7089452676	0.009644016789
7	25	15	1000	0.8704	0.005184006551	0.7325467838	0.008718653647
8	8	15	1000	0.80488	0.006032032871	0.6324867052	0.009011419918
8	10	15	1000	0.82602	0.00602204746	0.6590538652	0.009656919723
8	15	15	1000	0.86654	0.005167095761	0.7240178827	0.008882536527
8	20	15	1000	0.87068	0.005013644286	0.7328514647	0.008544328569
8	25	15	1000	0.86962	0.005465186854	0.7312311482	0.009333590557
9	8	15	1000	0.79198	0.006387798503	0.6044829882	0.009394517161
9	10	15	1000	0.83724	0.00590943453	0.6768219866	0.009330832944
9	15	15	1000	0.86032	0.005394495827	0.7119341448	0.009290471468
9	20	15	1000	0.8836	0.004780134011	0.7547150541	0.008463256087
9	25	15	1000	0.87956	0.004664868883	0.7437062177	0.008472337659
10	8	15	1000	0.77942	0.006359732508	0.5959835626	0.009002046153
10	10	15	1000	0.83304	0.005749943153	0.6689612567	0.009271675079
10	15	15	1000	0.86834	0.004869534501	0.7241494281	0.008419801252
10	20	15	1000	0.8717	0.004943018971	0.7300099302	0.008814659316
10	25	15	1000	0.86516	0.0053933084	0.7234850412	0.009069508166
1	5	15	1000	0.73608	0.007402909498	0.5430147608	0.009956820509
2	5	15	1000	0.76092	0.006620084646	0.5525533557	0.009599797527
3	5	15	1000	0.76374	0.006551269829	0.5644483086	0.009596956437
4	5	15	1000	0.75818	0.006582577817	0.556122057	0.009180204422
5	5	15	1000	0.7174	0.00733233334	0.5172484063	0.009568510573
6	5	15	1000	0.71748	0.007710650926	0.501846613	0.01060920626
7	5	15	1000	0.76676	0.006732081637	0.5819867493	0.009505351701
8	5	15	1000	0.7335	0.006864489995	0.5202419905	0.009281536409
9	5	15	1000	0.74784	0.006848181782	0.5460902699	0.009704053112
10	5	15	1000	0.7511	0.006927051697	0.5504314018	0.009353106243
