repeat	class	samples	_	acc	acc_std	ari	ari_std
1	5	15	1000	0.73608	0.007402909498	0.5430147608	0.009956820509
1	5	30	1000	0.771	0.006349947484	0.5643851624	0.00933433725
1	5	45	1000	0.7345	0.006957080057	0.5387993095	0.009496019177
1	5	60	1000	0.7919	0.006423755842	0.6035598261	0.009912142457
1	5	75	1000	0.76934	0.006676097553	0.5831873292	0.009598609527
2	5	15	1000	0.76092	0.006620084646	0.5525533557	0.009599797527
2	5	30	1000	0.74896	0.006953302671	0.5441552889	0.009789574994
2	5	45	1000	0.76922	0.006635043001	0.5712313412	0.00965064819
2	5	60	1000	0.77496	0.006540960942	0.5836018365	0.009687798465
2	5	75	1000	0.75142	0.006763295255	0.5578053308	0.009603197648
3	5	15	1000	0.76374	0.006551269829	0.5644483086	0.009596956437
3	5	30	1000	0.78456	0.006352195057	0.5930181462	0.009640200236
3	5	45	1000	0.76764	0.006555274886	0.5654918622	0.009754248478
3	5	60	1000	0.70166	0.007072119805	0.5150438418	0.009100166698
3	5	75	1000	0.7921	0.006432151195	0.6088155604	0.009509092536
4	5	15	1000	0.75818	0.006582577817	0.556122057	0.009180204422
4	5	30	1000	0.77118	0.006670044801	0.5775649531	0.009693025237
4	5	45	1000	0.7854	0.006582622438	0.6027962253	0.009731545727
4	5	60	1000	0.73466	0.006896348882	0.5361035519	0.009293025578
4	5	75	1000	0.7812	0.006619678912	0.5970312888	0.009800256825
5	5	15	1000	0.7174	0.00733233334	0.5172484063	0.009568510573
5	5	30	1000	0.77932	0.006680476461	0.5878316495	0.009839003804
5	5	45	1000	0.78566	0.006179562844	0.5907769383	0.009354975758
5	5	60	1000	0.80172	0.005998729365	0.6119660665	0.009461095694
5	5	75	1000	0.7973	0.006355441806	0.6113686669	0.009662908411
6	5	15	1000	0.71748	0.007710650926	0.501846613	0.01060920626
6	5	30	1000	0.7829	0.006611238917	0.5957681822	0.00971318933
6	5	45	1000	0.77972	0.006565114265	0.5913648549	0.009854970636
6	5	60	1000	0.7148	0.007297902988	0.5216656625	0.009396819692
6	5	75	1000	0.77918	0.006177118172	0.5898201337	0.009401994701
7	5	15	1000	0.76676	0.006732081637	0.5819867493	0.009505351701
7	5	30	1000	0.7703	0.006542761501	0.5755856162	0.009526913139
7	5	45	1000	0.76448	0.006445184126	0.56550304	0.009290203466
7	5	60	1000	0.76446	0.006491124863	0.5767431897	0.00919980503
7	5	75	1000	0.78754	0.006149794604	0.6008068585	0.009143621432
8	5	15	1000	0.7335	0.006864489995	0.5202419905	0.009281536409
8	5	30	1000	0.77484	0.006694148002	0.5781844985	0.009824212651
8	5	45	1000	0.74866	0.007070091939	0.5426277668	0.01006517983
8	5	60	1000	0.74498	0.006929057339	0.5476364515	0.009692819799
8	5	75	1000	0.798	0.006152693332	0.6129047752	0.009654677099
9	5	15	1000	0.74784	0.006848181782	0.5460902699	0.009704053112
9	5	30	1000	0.7845	0.006411430788	0.5914489175	0.009591290925
9	5	45	1000	0.779	0.00677542866	0.5914273255	0.0100166011
9	5	60	1000	0.77382	0.006677784211	0.5818554227	0.009925022299
9	5	75	1000	0.78862	0.006546467826	0.5988224771	0.01013584046
10	5	15	1000	0.7511	0.006927051697	0.5504314018	0.009353106243
10	5	30	1000	0.74902	0.006944904909	0.5631666357	0.009218523629
10	5	45	1000	0.80444	0.00612490386	0.6225938391	0.009513093593
10	5	60	1000	0.79992	0.006290971409	0.6141199824	0.00986271931
10	5	75	1000	0.8001	0.005937548866	0.6157810274	0.009189494878
