label	Dclass	acc	acc_std	ari	ari_std
TF_1	Baron	0.82948	0.005959403418	0.6343584626	0.01061257404
TF_1	Muraro	0.80416	0.00651015018	0.6047570173	0.01005656178
TF_1	Xin	0.49516	0.00701941401	0.1982088756	0.005876171464
TF_1	Seg	0.70792	0.009916395408	0.4750524012	0.01202690682
TF_1	Wang	0.52648	0.007557650982	0.2705217685	0.007321273426
TF_2	Baron	0.83956	0.006269172857	0.6599727615	0.01075474281
TF_2	Muraro	0.8002	0.007219016043	0.6082271909	0.01075300491
TF_2	Xin	0.47432	0.006716630487	0.1739550555	0.005421641655
TF_2	Seg	0.72404	0.01056337088	0.5057848887	0.01367523812
TF_2	Wang	0.55996	0.007864033645	0.2867681408	0.00804389565
TF_3	Baron	0.83388	0.006222317245	0.6456308096	0.01110408279
TF_3	Muraro	0.7708	0.007525108324	0.54884813	0.01137348157
TF_3	Xin	0.51276	0.006169025831	0.2009039865	0.005917027371
TF_3	Seg	0.6936	0.009269734103	0.4431853515	0.01162804286
TF_3	Wang	0.55888	0.007914799116	0.2939436931	0.008270982485
TF_4	Baron	0.8372	0.00672976036	0.6641175909	0.0110041286
TF_4	Muraro	0.74308	0.008195495294	0.5249487751	0.01071119512
TF_4	Xin	0.51896	0.006488382768	0.2192969194	0.006112457801
TF_4	Seg	0.68552	0.009862051289	0.4438203107	0.01237453032
TF_4	Wang	0.56704	0.00691205942	0.2869345578	0.007383633892
TF_5	Baron	0.83548	0.005851886963	0.647819568	0.0103629344
TF_5	Muraro	0.77148	0.006706759755	0.5451716595	0.01022165594
TF_5	Xin	0.51124	0.006493354943	0.2080914792	0.005667862717
TF_5	Seg	0.70324	0.008726774727	0.4511901224	0.01152187362
TF_5	Wang	0.52512	0.007126820453	0.256010973	0.006608411486
TF_7	Baron	0.83036	0.006284986853	0.6399736537	0.01107336938
TF_7	Muraro	0.77892	0.007185759717	0.5609881075	0.01092530514
TF_7	Xin	0.50444	0.006646555338	0.2070471282	0.006122688764
TF_7	Seg	0.66944	0.009314957681	0.414340234	0.01115334228
TF_7	Wang	0.53188	0.007490645763	0.2610365938	0.006957372546
TF_8	Baron	0.84564	0.006066736354	0.6671767864	0.01114485911
TF_8	Muraro	0.76816	0.008695832626	0.5621039491	0.01242118808
TF_8	Xin	0.48952	0.00642226403	0.1938270189	0.005524340845
TF_8	Seg	0.6906	0.009636911982	0.4552665311	0.01180240396
TF_8	Wang	0.55796	0.007142679009	0.2869765757	0.007152342779
TF_9	Baron	0.84988	0.006424321034	0.6785532172	0.01139174659
TF_9	Muraro	0.77248	0.008615951327	0.5695989691	0.01211021322
TF_9	Xin	0.4904	0.006552047681	0.1879333288	0.005764836993
TF_9	Seg	0.70712	0.009549850698	0.4794345643	0.01207640588
TF_9	Wang	0.54616	0.007542509888	0.2931903314	0.007336333565
TF_10	Baron	0.81068	0.007104725553	0.6072188516	0.01198290571
TF_10	Muraro	0.76732	0.006618406178	0.5332382653	0.01016824778
TF_10	Xin	0.48892	0.006542946436	0.1866384099	0.00530218709
TF_10	Seg	0.65048	0.009832135958	0.3972154089	0.01156304957
TF_10	Wang	0.50644	0.007347410965	0.2365529194	0.006348553873
