label	Dclass	acc	acc_std	ari	ari_std
TF_1	Baron	0.67836	0.008993510416	0.4363427138	0.0112357495
TF_1	Muraro	0.90236	0.004560049501	0.7755191651	0.008786815477
TF_1	Xin	0.61784	0.006724225817	0.3143496856	0.007583541188
TF_1	Seg	0.73408	0.00906429904	0.5268923007	0.01150570547
TF_1	Wang	0.64048	0.006900259525	0.3655720128	0.008529843133
TF_2	Baron	0.70956	0.008862193819	0.4881128707	0.01153661641
TF_2	Muraro	0.93652	0.003683019908	0.8503012374	0.007897690047
TF_2	Xin	0.65916	0.00643256941	0.3709220904	0.008098167486
TF_2	Seg	0.74692	0.01056001455	0.5599200882	0.01367251544
TF_2	Wang	0.72244	0.007298564351	0.4874104221	0.01024830793
TF_3	Baron	0.71348	0.008108465496	0.4700271424	0.0109683588
TF_3	Muraro	0.93668	0.003680801223	0.8488321013	0.008102505572
TF_3	Xin	0.68324	0.006178248182	0.4090370121	0.008217101821
TF_3	Seg	0.78576	0.009390364768	0.607382979	0.01270646042
TF_3	Wang	0.72844	0.006987708962	0.4983311154	0.009769173134
TF_4	Baron	0.703	0.008875100523	0.4659917842	0.01169642449
TF_4	Muraro	0.92256	0.00420693596	0.8200235428	0.008584155018
TF_4	Xin	0.62108	0.006110596863	0.3371825113	0.006918067597
TF_4	Seg	0.75472	0.009504549302	0.5486803592	0.01235655587
TF_4	Wang	0.64924	0.006896027692	0.3733414826	0.008564372068
TF_5	Baron	0.69588	0.009107750827	0.4601178086	0.01111209138
TF_5	Muraro	0.9156	0.00424208854	0.8040561344	0.008887708451
TF_5	Xin	0.65052	0.005903059921	0.3505030973	0.007363904151
TF_5	Seg	0.72032	0.01099209412	0.5185070278	0.01305646943
TF_5	Wang	0.66016	0.006432497254	0.3916703522	0.007802160014
TF_6	Baron	0.70656	0.007865296605	0.470094425	0.01051751892
TF_6	Muraro	0.90728	0.004715975221	0.7897029408	0.009337190457
TF_6	Xin	0.62376	0.006567862772	0.3264140493	0.007565979897
TF_6	Seg	0.70024	0.01056903168	0.4854752378	0.01280010645
TF_6	Wang	0.63196	0.007148914588	0.3623356213	0.008485205383
TF_7	Baron	0.69212	0.009206287598	0.4498804196	0.01177339379
TF_7	Muraro	0.90928	0.005042330241	0.7975785612	0.009903144393
TF_7	Xin	0.63296	0.006300333886	0.3305559381	0.007402086247
TF_7	Seg	0.73956	0.009439738832	0.5257957306	0.01237587594
TF_7	Wang	0.6792	0.007154540127	0.4345387778	0.009895886095
TF_8	Baron	0.6872	0.009066691075	0.4414124219	0.01147303788
TF_8	Muraro	0.91468	0.004585481997	0.8061681936	0.009143186797
TF_8	Xin	0.63532	0.006397600947	0.3317967785	0.007418293076
TF_8	Seg	0.73032	0.009652415232	0.5147877723	0.01283578106
TF_8	Wang	0.66736	0.007389878525	0.4114311234	0.009755267139
TF_9	Baron	0.67412	0.009144369732	0.4227371008	0.01159969696
TF_9	Muraro	0.92468	0.003796996459	0.8240030875	0.00797942874
TF_9	Xin	0.63596	0.006465427054	0.3328200291	0.007868551505
TF_9	Seg	0.74896	0.009294019587	0.5437776916	0.01217450682
TF_9	Wang	0.69344	0.006796562723	0.4442598749	0.00944456007
TF_10	Baron	0.67132	0.01014810262	0.4484636999	0.0117349215
TF_10	Muraro	0.94028	0.003727315506	0.8583511679	0.007841818857
TF_10	Xin	0.63608	0.0067740274	0.3489503191	0.007834694919
TF_10	Seg	0.76664	0.009071361369	0.577554558	0.01242649587
TF_10	Wang	0.69468	0.006630364199	0.4515743135	0.009141565247
Naive_1	Baron	0.63648	0.009458651473	0.4144675282	0.01004108916
Naive_1	Muraro	0.76384	0.008867363361	0.589791132	0.01117016723
Naive_1	Xin	0.49068	0.006678167501	0.2789992418	0.005938490503
Naive_1	Seg	0.61176	0.01060620691	0.4005001816	0.01050170934
Naive_1	Wang	0.60364	0.008296548558	0.385990926	0.007998701238
Naive_2	Baron	0.65948	0.009020658533	0.4345258484	0.009942294914
Naive_2	Muraro	0.77468	0.008646177257	0.6045240536	0.01040132989
Naive_2	Xin	0.53412	0.006180203154	0.3202886888	0.005895819464
