label	Dclass	acc	acc_std	ari	ari_std
TF_1	Baron	0.55888	0.008622097582	0.2715993255	0.008627883061
TF_1	Muraro	0.65388	0.009217305386	0.4335881142	0.009810214603
TF_1	Xin	0.49072	0.00677839292	0.1867078455	0.006529281086
TF_1	Seg	0.59872	0.01009096211	0.3643205378	0.01047724193
TF_1	Wang	0.75764	0.00668169543	0.5294226875	0.009981926627
TF_2	Baron	0.54708	0.008170992566	0.2613502897	0.008146043619
TF_2	Muraro	0.60644	0.00759833937	0.3579182736	0.00780551041
TF_2	Xin	0.51084	0.006605347277	0.2089254086	0.006100062315
TF_2	Seg	0.59268	0.008291916538	0.3482445499	0.008460587611
TF_2	Wang	0.76024	0.006059943832	0.5365132988	0.008956236043
TF_3	Baron	0.58384	0.008598067793	0.3099863894	0.009875535289
TF_3	Muraro	0.6956	0.007582294432	0.4800695622	0.009445592728
TF_3	Xin	0.507	0.006545881691	0.2030988496	0.006795642121
TF_3	Seg	0.64676	0.009274098626	0.4136594115	0.01024410072
TF_3	Wang	0.79588	0.006134976268	0.5933309041	0.01014135354
TF_4	Baron	0.38072	0.008877053454	0.1449871054	0.006629500602
TF_4	Muraro	0.41348	0.008120668017	0.1686348563	0.006764586509
TF_4	Xin	0.46196	0.008535446443	0.2266568228	0.007185330518
TF_4	Seg	0.40532	0.008414015346	0.2042673495	0.007414206086
TF_4	Wang	0.65432	0.009003150661	0.423874883	0.010168807
TF_5	Baron	0.5358	0.008480437913	0.2575311736	0.008053082571
TF_5	Muraro	0.6248	0.008718020072	0.4229520894	0.008741768021
TF_5	Xin	0.46144	0.007186563206	0.1783428209	0.006505156333
TF_5	Seg	0.61944	0.00897628053	0.3945860852	0.009663956187
TF_5	Wang	0.7556	0.006213169271	0.5251165566	0.009486889676
TF_6	Baron	0.5598	0.008239855212	0.2740521234	0.008931428995
TF_6	Muraro	0.6484	0.008682667999	0.4239628058	0.009342713838
TF_6	Xin	0.45604	0.006633059247	0.1673873034	0.005808552893
TF_6	Seg	0.57752	0.008924666582	0.3263410148	0.008537949729
TF_6	Wang	0.75264	0.006360086942	0.5292558267	0.00921218417
TF_7	Baron	0.58424	0.008698949219	0.2981407014	0.00942699437
TF_7	Muraro	0.70652	0.008151853604	0.4878927089	0.009859729458
TF_7	Xin	0.52208	0.007019799278	0.2248346909	0.006997908346
TF_7	Seg	0.6204	0.009202393958	0.3693535286	0.01050364797
TF_7	Wang	0.76312	0.006911962723	0.5449387085	0.009799283881
TF_8	Baron	0.58668	0.00828639174	0.3109663514	0.009264670063
TF_8	Muraro	0.72236	0.007778991966	0.5020232609	0.009855732899
TF_8	Xin	0.5412	0.006623163011	0.2445051656	0.006444308297
TF_8	Seg	0.6192	0.009961727399	0.3917278496	0.01035232792
TF_8	Wang	0.784	0.006110828783	0.5722395245	0.009441740278
TF_9	Baron	0.57172	0.008107488501	0.2933475539	0.008683561338
TF_9	Muraro	0.66736	0.007759974784	0.4387933029	0.009072532156
TF_9	Xin	0.54308	0.007037650964	0.2467230779	0.006658570552
TF_9	Seg	0.62504	0.009137080043	0.382787754	0.009878004299
TF_9	Wang	0.7824	0.006499890682	0.5669535103	0.01024555675
TF_10	Baron	0.571	0.008020170406	0.2886446249	0.008642663358
TF_10	Muraro	0.68512	0.008264708651	0.4595181085	0.009836880298
TF_10	Xin	0.49408	0.006829256739	0.2003091864	0.006355048076
TF_10	Seg	0.63344	0.01023958764	0.3771434095	0.01170428498
TF_10	Wang	0.7832	0.006480056452	0.5683302085	0.01043478248
Naive_1	Baron	0.5258	0.009597787997	0.3022021787	0.009561025474
Naive_1	Muraro	0.5272	0.008850468973	0.3488447247	0.008976229123
Naive_1	Xin	0.5286	0.007880366448	0.2635945247	0.007289190551
Naive_1	Seg	0.44976	0.009375986665	0.2737002531	0.008551206396
Naive_1	Wang	0.69988	0.008933908692	0.4846523854	0.01086632243
Naive_2	Baron	0.29796	0.006120845614	0.05870741137	0.0038189842
Naive_2	Muraro	0.29792	0.006792183369	0.06779191839	0.004342610286
