label	Dclass	acc	acc_std	ari	ari_std
TF_1	Baron	0.5368	0.008236944336	0.2525939791	0.008462106173
TF_1	Muraro	0.60952	0.007763333158	0.3483488993	0.008321734921
TF_1	Xin	0.68824	0.0062614535	0.3975208344	0.008763591616
TF_1	Seg	0.634	0.008645954651	0.3835816423	0.01033999817
TF_1	Wang	0.5382	0.007269418935	0.2718392212	0.007657136043
TF_2	Baron	0.53076	0.008025773598	0.2540606712	0.008037995609
TF_2	Muraro	0.6208	0.008011465509	0.3586635515	0.008726873254
TF_2	Xin	0.64488	0.006423959781	0.3457375294	0.008059449945
TF_2	Seg	0.60608	0.008773423781	0.3450827251	0.01029540021
TF_2	Wang	0.52184	0.006809098593	0.2475063861	0.00679351257
TF_3	Baron	0.50688	0.00832499205	0.2241501864	0.00780616008
TF_3	Muraro	0.57264	0.007660445612	0.3133498272	0.007795819016
TF_3	Xin	0.64544	0.006576657594	0.3491658852	0.007982201385
TF_3	Seg	0.60024	0.009157944462	0.3440749094	0.01044786342
TF_3	Wang	0.544	0.007365431516	0.2589485202	0.007627358785
TF_4	Baron	0.51592	0.008206079109	0.244273651	0.008239711296
TF_4	Muraro	0.59624	0.008198208015	0.3405596605	0.008572369469
TF_4	Xin	0.65084	0.006797432246	0.3546127125	0.00840787735
TF_4	Seg	0.5954	0.008811698388	0.3313897236	0.009424527398
TF_4	Wang	0.50664	0.006670965965	0.2110814619	0.006572266448
TF_5	Baron	0.5596	0.008303021443	0.2779183459	0.008319048811
TF_5	Muraro	0.67996	0.007839600101	0.4326835562	0.009622877385
TF_5	Xin	0.67496	0.006407569327	0.3767161145	0.008322394012
TF_5	Seg	0.62244	0.009393339867	0.3678856968	0.01067845156
TF_5	Wang	0.52108	0.006974227053	0.2490790532	0.006512063014
TF_6	Baron	0.5628	0.008371460417	0.2864663463	0.008557002311
TF_6	Muraro	0.63356	0.007558324872	0.3800820615	0.008291258232
TF_6	Xin	0.7024	0.00649036256	0.4172142368	0.008618251934
TF_6	Seg	0.63648	0.0083649199	0.3746282945	0.009436131887
TF_6	Wang	0.5684	0.006871539378	0.2827950765	0.007221658881
TF_7	Baron	0.55176	0.008253429977	0.2710143901	0.008636435182
TF_7	Muraro	0.67112	0.007965072446	0.4255167372	0.009092718364
TF_7	Xin	0.68712	0.006018289451	0.3917854787	0.008073171173
TF_7	Seg	0.65332	0.008373316478	0.4179075475	0.009383063738
TF_7	Wang	0.5316	0.007286786495	0.2600747285	0.006775230714
TF_8	Baron	0.49932	0.008015026588	0.2135451536	0.007665665345
TF_8	Muraro	0.57388	0.008046529318	0.3149124697	0.008335804327
TF_8	Xin	0.643	0.006387982256	0.3372783443	0.007884362017
TF_8	Seg	0.58388	0.008282268139	0.3191355455	0.009231203698
TF_8	Wang	0.50244	0.006799908184	0.2239287586	0.006505988496
TF_9	Baron	0.54648	0.007855574844	0.2558044601	0.00783287451
TF_9	Muraro	0.61328	0.008360864637	0.3550079863	0.009006546462
TF_9	Xin	0.68004	0.006445486773	0.3883742734	0.008564933291
TF_9	Seg	0.639	0.00882475188	0.3826825179	0.01043624384
TF_9	Wang	0.53868	0.007231808872	0.2503494045	0.006944193293
TF_10	Baron	0.50496	0.008085301153	0.2242531803	0.007131022996
TF_10	Muraro	0.57544	0.008498319204	0.315908019	0.008311023472
TF_10	Xin	0.66416	0.006849243519	0.3748277453	0.008660393568
TF_10	Seg	0.60972	0.009011817858	0.3515213148	0.009752997683
TF_10	Wang	0.5226	0.006910493295	0.24372294	0.006390266834
Naive_1	Baron	0.41	0.008400536532	0.1710223088	0.006830644654
Naive_1	Muraro	0.4192	0.008038456575	0.1836539345	0.006744313245
Naive_1	Xin	0.5918	0.007999773332	0.3312490088	0.0081556522
Naive_1	Seg	0.50672	0.00907022336	0.2802735649	0.008841829034
Naive_1	Wang	0.50584	0.007716420313	0.2283858229	0.006413598585
